song,artist,uri,id,track_href,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,clusters
Chasing The Sun,The Wanted,spotify:track:6WfDlkxh3cFinLzRX8A2nP,6WfDlkxh3cFinLzRX8A2nP,https://api.spotify.com/v1/tracks/6WfDlkxh3cFinLzRX8A2nP,0.643,0.724,-6.133,0.105,0.235,0.0,0.487,0.644,128.104,198253,6
F**k U Betta,Neon Hitch,spotify:track:5OZGoO9wXzpu1JHu3LkJZu,5OZGoO9wXzpu1JHu3LkJZu,https://api.spotify.com/v1/tracks/5OZGoO9wXzpu1JHu3LkJZu,0.693,0.766,-4.121,0.104,0.02,0.0,0.135,0.785,129.989,203387,4
Good Time,Owl City,spotify:track:2jR5kaTWvyyWENtAlPxLNi,2jR5kaTWvyyWENtAlPxLNi,https://api.spotify.com/v1/tracks/2jR5kaTWvyyWENtAlPxLNi,0.56,0.888,-4.207,0.134,0.0262,3.64e-06,0.293,0.7,126.09,206987,6
Seksikkäin jäbä,Teflon Brothers,spotify:track:2Ynd1BuOdfrGFU1HgW5fXJ,2Ynd1BuOdfrGFU1HgW5fXJ,https://api.spotify.com/v1/tracks/2Ynd1BuOdfrGFU1HgW5fXJ,0.797,0.739,-4.783,0.0335,0.0158,3.3e-05,0.0431,0.92,131.083,229360,4
Figure 8,Ellie Goulding,spotify:track:4DoiEk7AaubTkIkYencvx7,4DoiEk7AaubTkIkYencvx7,https://api.spotify.com/v1/tracks/4DoiEk7AaubTkIkYencvx7,0.408,0.818,-4.356,0.0605,0.0341,0.0,0.109,0.225,74.008,247440,3
Levoton tyttö,Anssi Kela,spotify:track:33IGcdfBsro40Eb3fL9dNA,33IGcdfBsro40Eb3fL9dNA,https://api.spotify.com/v1/tracks/33IGcdfBsro40Eb3fL9dNA,0.658,0.761,-7.902,0.0412,0.0591,0.00925,0.083,0.859,167.986,272333,5
Mermaid,Train,spotify:track:23QvUEVePFN0v7MWsI59O4,23QvUEVePFN0v7MWsI59O4,https://api.spotify.com/v1/tracks/23QvUEVePFN0v7MWsI59O4,0.72,0.883,-3.455,0.0398,0.0146,0.0,0.102,0.921,104.008,196933,4
She Makes Me Go (feat. Sean Paul) - Radio Edit,Arash,spotify:track:3E3S5LUXcNnTw26mZ8SVp1,3E3S5LUXcNnTw26mZ8SVp1,https://api.spotify.com/v1/tracks/3E3S5LUXcNnTw26mZ8SVp1,0.708,0.904,-2.988,0.0369,0.084,1.88e-06,0.207,0.468,133.003,178533,4
4 AM - Radio Version,Scooter,spotify:track:5TnYKzmaBPe5cu13GJgTVa,5TnYKzmaBPe5cu13GJgTVa,https://api.spotify.com/v1/tracks/5TnYKzmaBPe5cu13GJgTVa,0.586,0.884,-5.73,0.188,0.00151,0.0,0.328,0.285,132.03,196972,5
Haastaja,Jontte Valosaari,spotify:track:3YEbExwXg71zlf3R3ZVmZD,3YEbExwXg71zlf3R3ZVmZD,https://api.spotify.com/v1/tracks/3YEbExwXg71zlf3R3ZVmZD,0.678,0.947,-4.154,0.0921,0.0261,0.0,0.121,0.599,128.0,191612,4
Push Play,Miriam Bryant,spotify:track:192qwwyYYepCdGcWBb5UWL,192qwwyYYepCdGcWBb5UWL,https://api.spotify.com/v1/tracks/192qwwyYYepCdGcWBb5UWL,0.53,0.771,-4.872,0.0312,0.00301,0.323,0.162,0.23,110.003,204690,3
Bombo,Adelén,spotify:track:1bi9UNJ3i3NeHTwy8sacmj,1bi9UNJ3i3NeHTwy8sacmj,https://api.spotify.com/v1/tracks/1bi9UNJ3i3NeHTwy8sacmj,0.731,0.837,-1.799,0.043,0.0753,0.000353,0.359,0.569,126.166,186733,6
Reload - Vocal Version / Radio Edit,Sebastian Ingrosso,spotify:track:40AYRnDKhhrH4JZO4KS9Dj,40AYRnDKhhrH4JZO4KS9Dj,https://api.spotify.com/v1/tracks/40AYRnDKhhrH4JZO4KS9Dj,0.485,0.736,-4.617,0.0515,0.0731,0.0,0.061,0.434,128.053,221273,5
"Driving Around (feat. Pitbull, David Rush & Vein) - Providers Remix Radio Edit",Mr. 305,spotify:track:7iWnuoewapgVkLsbidGdox,7iWnuoewapgVkLsbidGdox,https://api.spotify.com/v1/tracks/7iWnuoewapgVkLsbidGdox,0.731,0.823,-3.365,0.0488,0.021,0.0,0.371,0.227,130.016,205853,6
Next to Me,Otto Knows,spotify:track:6ZixfeFT8V0Nle1rMZAekY,6ZixfeFT8V0Nle1rMZAekY,https://api.spotify.com/v1/tracks/6ZixfeFT8V0Nle1rMZAekY,0.596,0.752,-4.904,0.07,0.785,0.000419,0.105,0.306,127.06,202169,7
